ID,value
11011,58.70 
13164,28.80 
13166,28.80 
13382,144.50 
14363,206.00 
14364,206.00 
14381,100.50 
15142,184.00 
15261,99.50 
15364,173.50 
15601,398.00 
15864,54.50 
15865,54.50 
15984,162.00 
15991,62.00 
16095,68.00 
17813,52.60 
20344,47.30 
20632,60.00 
21043,52.80 
22013,94.50 
22081,42.90 
22283,154.00 
22313,268.00 
23372,60.90 
23383,117.00 
23682,284.00 
23836,641.00 
23837,641.00 
24271,38.80 
24361,115.50 
24394,197.50 
24395,197.50 
24423,39.10 
24424,39.10 
24642,98.50 
24762,119.00 
24866,151.50 
25283,57.00 
25284,57.00 
25483,192.00 
25484,192.00 
26417,43.85 
27271,374.00 
27323,209.00 
27551,201.50 
27561,172.00 
29061,29.85 
30061,213.00 
30134,176.00 
30165,154.50 
30238,387.00 
30337,42.15 
30454,123.00 
30455,123.00 
30882,119.50 
30954,85.00 
31222,72.80 
31382,518.00 
31413,292.50 
32071,167.00 
32571,97.90 
32723,28.80 
33035,72.00 
33055,92.40 
33121,110.50 
33133,28.65 
33225,31.80 
33245,965.00 
33466,67.60 
33571,248.50 
33621,299.50 
33763,273.50 
33881,91.90 
33902,39.80 
34163,163.00 
34341,51.40 
34793,132.50 
34834,234.00 
34843,96.00 
34912,497.00 
35161,35.70 
35181,47.85 
35221,61.50 
35266,269.00 
35482,300.50 
35483,300.50 
35642,138.00 
35831,525.00 
35832,525.00 
35871,328.00 
35914,33.40 
36053,69.40 
36913,247.50 
37022,102.50 
37023,102.50 
41234,101.00 
41235,101.00 
41236,101.00 
41237,101.00 
41372,263.00 
41644,75.70 
41903,152.50 
44163,123.00 
44382,171.00 
44391,217.00 
45102,65.80 
45421,120.00 
45491,234.00 
45553,69.00 
45641,75.70 
45691,327.00 
45721,203.00 
47393,176.50 
49793,264.50 
49794,264.50 
50097,63.20 
50114,46.45 
52091,220.00 
52121,82.60 
52441,61.80 
52452,109.50 
52843,239.50 
53064,255.00 
53095,55.50 
53211,159.00 
53887,151.50 
54501,31.00 
54573,138.50 
56086,76.30 
56087,76.30 
61041,333.50 
61112,264.50 
61255,140.00 
61394,3666.00 
61506,420.00 
61794,56.80 
61828,89.50 
61843,56.00 
61906,47.30 
61965,195.00 
61973,204.00 
62235,1040.00 
62433,90.40 
62695,153.00 
62696,153.00 
62744,201.50 
62791,194.00 
62822,59.50 
62843,107.00 
62884,40.15 
64145,376.00 
64251,101.00 
64324,57.50 
64421,666.00 
64512,289.00 
64723,1030.00 
65096,82.90 
65461,245.00 
65521,156.50 
65841,249.50 
65842,249.50 
66033,23.85 
66163,42.25 
66241,50.80 
66292,155.00 
66451,47.40 
66642,354.00 
66801,119.50 
67152,223.00 
67531,175.50 
67611,221.50 
67681,173.50 
67961,152.00 
68301,232.50 
68351,81.00 
68401,136.50 
68461,120.50 
68462,120.50 
68541,277.50 
68631,323.00 
68702,292.00 
68741,219.00 
80282,183.00 
80914,176.50 
81473,163.50 
81551,216.50 
81714,74.20 
81715,74.20 
82101,347.50 
82551,297.00 
82991,785.00 
82992,785.00 
83742,169.00 
84112,37.90 
84221,251.50 
84332,108.50 
84333,108.50 
84422,135.00 
84672,351.00 
84673,351.00 
84881,20.85 
84891,369.50 
89277,78.30 
89278,78.30 
98026,205.00 
99063,237.00 
99211,376.50 
99332,55.60 
99353,51.50 
99392,178.50 
99412,254.00 
99587,373.50 
99588,373.50 
140201,54.30 
140202,35.95 
14743,22.40 
49165,56.20 
67711,100.00 
68701,292.00 
84222,251.50 
84623,302.50 
